ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
388,parC4,parC3,parC2,befC2,PrevFail,befC4,None,PrevDO,befC3,None
389,parC4,parC3,parC2,befC4,befC2,None,PrevFail,None,None,befC3
395,parC4,parC3,parC2,befC4,befC2,None,PrevFail,befC3,None,None
401,parC4,parC2,parC3,befC4,PrevFail,befC3,befC2,None,None,None
404,parC4,parC3,parC2,befC4,PrevFail,None,befC2,None,PrevDO,None
405,parC4,parC3,parC2,befC4,befC2,befC3,None,None,PrevFail,None
408,parC4,parC3,parC2,befC4,befC2,befC3,PrevFail,None,None,None
411,parC4,parC3,parC2,befC4,befC2,PrevFail,None,None,None,None
415,None,None,parC2,befC4,befC2,befC3,None,befDOC5,None,PrevFail
416,parC4,parC3,parC2,befC2,befC4,PrevFail,None,None,None,None
418,parC4,parC3,parC2,befC4,None,None,None,befC2,PrevFail,None
421,parC4,parC2,parC3,befC4,None,PrevDO,befC3,befC2,None,None
424,parC4,parC3,parC2,befC4,befC2,PrevFail,None,befC3,befDOC6,None
425,parC4,parC3,parC2,befC4,befC2,befDOC6,None,PrevFail,None,befC3
427,parC4,parC2,parC3,befC4,None,befC2,PrevDO,None,befC3,None
428,parC4,parC2,parC3,befC4,befC2,None,PrevFail,None,None,befC3
432,parC4,parC2,parC3,befC4,befC2,PrevFail,None,None,befC3,None
435,parC4,parC3,parC2,befC2,befC4,None,PrevFail,None,befC3,None
436,parC4,parC3,parC2,befC4,None,befC2,None,PrevFail,befC3,None
441,parC4,parC3,parC2,befC4,befC2,PrevFail,None,None,None,befC3
444,parC4,parC3,parC2,befC4,befC2,None,None,PrevFail,None,None
446,parC4,parC3,parC2,befC4,befC2,befC3,befDOC5,None,None,PrevFail
448,parC4,parC3,parC2,befC4,befC2,PrevFail,None,befC3,None,None
459,parC4,parC3,parC2,befC4,befC2,PrevFail,None,None,None,None
462,parC4,parC2,parC3,befC4,befC2,None,PrevFail,befDOC6,befDOC5,None
468,parC4,parC3,parC2,befC4,PrevFail,befC2,None,None,None,None
470,parC4,parC2,parC3,befC4,befC2,PrevFail,None,PrevDO,None,None
471,parC4,parC3,parC2,befC2,befC4,PrevDO,befC3,befDOC6,None,befFC6
472,parC4,parC2,parC3,befC4,PrevDO,befC2,befC3,None,PrevFail,None
473,parC4,parC3,parC2,befC2,befC4,PrevFail,None,None,befC3,None
475,parC4,parC3,parC2,befC2,befC4,None,None,PrevFail,None,befC3
476,parC4,parC3,parC2,befC4,befC2,PrevFail,befC3,None,None,PrevDO
477,parC4,parC2,parC3,befC4,befC2,PrevFail,None,None,befFC5,befC3
479,parC4,parC3,parC2,befC4,befC2,befC3,None,None,befDOC5,None
482,parC4,parC3,parC2,befC4,PrevFail,befC2,None,None,None,befDOC5
488,parC4,parC3,parC2,befC4,befC2,None,None,PrevFail,befFC6,befC3
490,parC4,parC3,parC2,befC4,befC2,PrevFail,None,None,None,None
493,parC4,parC3,parC2,befC4,befC2,None,befDOC5,PrevFail,befFC5,befFC6
496,parC4,parC3,parC2,befC4,befC2,PrevFail,None,None,None,befC3
500,parC4,parC3,parC2,befC4,befC2,None,befC3,PrevFail,None,None
505,parC4,parC2,parC3,befC4,befC2,None,PrevFail,None,None,befC3
510,parC4,parC2,parC3,befC4,befC2,None,None,PrevFail,befC3,None
511,parC4,parC3,parC2,befC2,befC4,None,PrevFail,None,befFC5,befC3
512,parC4,parC3,parC2,befC4,befC2,None,PrevFail,None,None,befC3
513,parC4,parC3,parC2,befC4,PrevFail,None,befC2,None,None,None
514,parC4,parC3,parC2,befC4,None,befC2,befC3,PrevFail,None,befDOC5
519,parC4,parC3,parC2,befC4,befC2,PrevFail,None,None,befC3,None
521,parC4,parC3,parC2,befC4,PrevFail,befC2,befC3,None,None,befDOC6
522,parC4,parC3,parC2,befC4,befC2,PrevDO,PrevFail,befDOC6,None,None
524,parC4,parC3,parC2,PrevFail,befC2,befC4,None,None,None,None
528,parC4,parC3,parC2,befC2,befC4,PrevFail,PrevDO,befDOC5,None,None
529,parC4,parC3,parC2,befC4,befC2,PrevFail,PrevDO,None,None,None
530,parC4,parC3,parC2,befC4,PrevDO,None,befC2,befC3,None,None
533,parC4,parC3,parC2,befC4,befC2,None,PrevDO,PrevFail,befFC5,None
534,parC4,parC3,parC2,befC4,befC2,PrevFail,befDOC5,None,None,befC3
541,parC4,parC3,parC2,befC4,PrevFail,befC2,None,befFC6,befC3,None
542,parC4,parC3,parC2,befC4,befC2,PrevFail,None,None,None,befFC5
544,parC4,parC3,parC2,befC2,befC4,PrevFail,None,befC3,None,None
548,parC4,parC2,parC3,befC4,befC2,PrevDO,None,None,None,None
549,parC4,parC3,parC2,befC2,befC4,None,None,befC3,PrevFail,None
