,0,1,2,3,4,5,6,7,8,9
20,"('0.00 < parC4 <= 1.00', 0.3538299722043445, 20, 1)","('0.00 < parC3 <= 1.00', 0.3318728765507861, 20, 1)","('0.00 < parC2 <= 1.00', 0.3020377957070792, 20, 1)","('befC4 <= 0.00', 0.1673392233930893, 20, 1)","('befC2 <= 0.00', 0.1363687131505504, 20, 1)","('PrevFail <= 0.00', 0.13457616799615146, 20, 1)","('PrevDO <= 0.00', -0.11774029318314506, 20, 1)","('befDOC6 > 0.00', 0.11631229726905806, 20, 1)","('befDOC5 <= 0.00', -0.11231959436553318, 20, 1)","('befFC5 <= 0.00', -0.10399890006226059, 20, 1)"
21,"('0.00 < parC4 <= 1.00', 0.3449348686265096, 21, 1)","('0.00 < parC3 <= 1.00', 0.2953386488089864, 21, 1)","('0.00 < parC2 <= 1.00', 0.2919808378857472, 21, 1)","('befC4 <= 0.00', 0.15938744561076748, 21, 1)","('befC2 <= 0.00', 0.14011800151982276, 21, 1)","('PrevFail <= 0.00', 0.1232903193722921, 21, 1)","('befDOC5 <= 0.00', -0.12242769695401061, 21, 1)","('PrevDO > 0.00', 0.11883241897287149, 21, 1)","('befFC6 <= 0.00', -0.11843812485634841, 21, 1)","('befDOC6 <= 0.00', -0.11557848493506738, 21, 1)"
22,"('0.00 < parC4 <= 1.00', 0.3484248177571922, 22, 0)","('0.00 < parC2 <= 1.00', 0.3073897997069436, 22, 0)","('parC3 <= 0.00', -0.3030617806699098, 22, 0)","('befC4 <= 0.00', 0.16018326716300432, 22, 0)","('befC2 <= 0.00', 0.14733792611956903, 22, 0)","('befC3 <= 0.00', 0.12468908045290182, 22, 0)","('PrevFail <= 0.00', 0.11673507665452662, 22, 0)","('befDOC5 <= 0.00', -0.11599073407529002, 22, 0)","('befDOC6 <= 0.00', -0.11167748574805536, 22, 0)","('befFC6 <= 0.00', -0.11074489188522325, 22, 0)"
23,"('0.00 < parC4 <= 1.00', 0.3290556688917254, 23, 0)","('0.00 < parC3 <= 1.00', 0.30565196297038283, 23, 0)","('parC2 <= 0.00', -0.299183993529094, 23, 0)","('befC4 <= 0.00', 0.16665505791858906, 23, 0)","('PrevDO <= 0.00', -0.15494095428761429, 23, 0)","('PrevFail <= 0.00', 0.13185709683317062, 23, 0)","('befC2 > 0.00', -0.12694266636559945, 23, 0)","('befDOC6 > 0.00', 0.12108484176900555, 23, 0)","('befFC6 <= 0.00', -0.11982905541893052, 23, 0)","('befDOC5 <= 0.00', -0.1189183569925015, 23, 0)"
24,"('0.00 < parC4 <= 1.00', 0.3358372218772373, 24, 0)","('0.00 < parC3 <= 1.00', 0.30505531270339564, 24, 0)","('0.00 < parC2 <= 1.00', 0.2998237939587447, 24, 0)","('befC4 <= 0.00', 0.1546660198860682, 24, 0)","('PrevFail <= 0.00', 0.12017870744969149, 24, 0)","('befC2 <= 0.00', 0.11384271932418402, 24, 0)","('befDOC6 <= 0.00', -0.1094254506956791, 24, 0)","('befFC6 <= 0.00', -0.10913303000800345, 24, 0)","('befDOC5 <= 0.00', -0.1042538635539212, 24, 0)","('PrevDO <= 0.00', -0.10386375513069418, 24, 0)"
25,"('0.00 < parC4 <= 1.00', 0.3562615606675089, 25, 1)","('0.00 < parC3 <= 1.00', 0.31224636065134603, 25, 1)","('0.00 < parC2 <= 1.00', 0.30426959762188216, 25, 1)","('befC2 <= 0.00', 0.1404652046287529, 25, 1)","('befC4 <= 0.00', 0.13644082254501425, 25, 1)","('PrevFail <= 0.00', 0.13261158432269624, 25, 1)","('PrevDO <= 0.00', -0.12419051612354914, 25, 1)","('befC3 <= 0.00', 0.10680577619941181, 25, 1)","('befFC5 > 0.00', 0.10523057457411585, 25, 1)","('befFC6 <= 0.00', -0.10144028224702485, 25, 1)"
26,"('parC4 <= 0.00', -0.3411550522425342, 26, 0)","('0.00 < parC2 <= 1.00', 0.3036441793922777, 26, 0)","('0.00 < parC3 <= 1.00', 0.29955873390986226, 26, 0)","('befC4 <= 0.00', 0.14711789182318208, 26, 0)","('befC2 <= 0.00', 0.14133335095849006, 26, 0)","('PrevDO <= 0.00', -0.12830273751554103, 26, 0)","('PrevFail <= 0.00', 0.12676157868360483, 26, 0)","('befFC5 <= 0.00', -0.12345522159246096, 26, 0)","('befDOC5 <= 0.00', -0.11872639746657679, 26, 0)","('befFC6 <= 0.00', -0.1066759890557039, 26, 0)"
27,"('parC4 <= 0.00', -0.35086752291683787, 27, 0)","('0.00 < parC3 <= 1.00', 0.3077819600732489, 27, 0)","('0.00 < parC2 <= 1.00', 0.28839491831970016, 27, 0)","('befC4 > 0.00', -0.1785728079612446, 27, 0)","('befC2 <= 0.00', 0.13905898306074055, 27, 0)","('befDOC6 <= 0.00', -0.13861167941717623, 27, 0)","('PrevFail > 0.00', -0.13402152230690548, 27, 0)","('PrevDO <= 0.00', -0.12523602370182005, 27, 0)","('befFC5 <= 0.00', -0.10745709770396207, 27, 0)","('befDOC5 <= 0.00', -0.10426593056795276, 27, 0)"
28,"('parC4 <= 0.00', -0.35010054592834794, 28, 0)","('parC3 <= 0.00', -0.3162959513153975, 28, 0)","('0.00 < parC2 <= 1.00', 0.28957313168442245, 28, 0)","('befC4 <= 0.00', 0.17697930166104636, 28, 0)","('befC2 <= 0.00', 0.14918300131766463, 28, 0)","('PrevFail <= 0.00', 0.1331090045933023, 28, 0)","('befDOC6 <= 0.00', -0.11963794175860447, 28, 0)","('befFC6 <= 0.00', -0.11687752993358948, 28, 0)","('PrevDO <= 0.00', -0.11666161696717747, 28, 0)","('befC3 <= 0.00', 0.11626603851487306, 28, 0)"
29,"('0.00 < parC4 <= 1.00', 0.32814532995530665, 29, 0)","('0.00 < parC3 <= 1.00', 0.29459163562798013, 29, 0)","('0.00 < parC2 <= 1.00', 0.28275515881652913, 29, 0)","('befC4 <= 0.00', 0.15750453956235133, 29, 0)","('befC2 <= 0.00', 0.14498386437351024, 29, 0)","('PrevFail > 0.00', -0.13990726837938636, 29, 0)","('befDOC6 <= 0.00', -0.12619609016902464, 29, 0)","('befFC5 <= 0.00', -0.1236867674396784, 29, 0)","('befDOC5 <= 0.00', -0.11499143557014033, 29, 0)","('PrevDO <= 0.00', -0.11492927304017694, 29, 0)"
